id;adi_soyadi;ogr_no;cinsiyeti;dogum_tarihi
1;Grocery Industrial;30780;false;2023-03-31T04:51:28
2;Integrated Consultant Portugal;46836;false;2023-03-30T21:26:28
3;Barthelemy application Toys;62042;false;2023-03-30T22:29:31
4;bandwidth Utah;79051;true;2023-03-30T23:44:24
5;Bolivia matrix;60452;false;2023-03-31T13:02:19
6;Towels haptic Investor;19206;false;2023-03-31T17:11:04
7;Peso;24783;true;2023-03-31T04:41:56
8;installation;91800;true;2023-03-31T07:54:53
9;Refined Identity driver;62915;false;2023-03-31T20:14:38
10;Franc generate;56951;true;2023-03-30T22:10:02
